Devotion,0038474,1946,3,1,0
Dressed to Kill,0038494,1946,3,0,0
It&#39;s a Wonderful Life,0038650,1946,3,0,0
My Darling Clementine,0038762,1946,1,0,0
Duel in the sun,0038499,1946,2,1,0
Big Sleep The,0038355,1946,1,0,0
Two Sisters from Boston,0039054,1946,3,1,0
Gilda,0038559,1946,0,1,0
Chase The,0038409,1946,1,0,0
Stairway to Heaven,0038733,1946,0,0,0
Make Mine Music,0038718,1946,1,0,0
Paradine Case The,0039694,1947,2,0,0
Odd Man Out,0039677,1947,2,0,0
Good News,0039431,1947,2,1,0
Crossfire,0039286,1947,2,0,0
Ghost and Mrs. Muir The,0039420,1947,3,1,0
Shocking Miss Pilgrim The,0039819,1947,3,1,0
Gunfighters,0039441,1947,2,0,0
Fun &amp; Fancy Free,0039404,1947,1,0,0
Nada,0039650,1947,3,0,0
Calendar Girl,0039236,1947,2,1,0
Black Narcissus,0039192,1947,3,1,0
Egg and I The,0039349,1947,3,1,0
Exile The,0039360,1947,1,0,0
Build My Gallows High,0039689,1947,2,0,0
Rudolph the Red-Nosed Reindeer,0156031,1948,0,0,0
Anna Karenina,0040098,1948,2,1,0
Snake Pit The,0040806,1948,3,1,0
Call Northside 777,0040202,1948,1,0,0
I Remember Mama,0040458,1948,3,1,0
Act of Violence,0041088,1948,2,0,0
Rope,0040746,1948,0,0,0
Command Decision,0040242,1948,0,0,0
Casbah,0040214,1948,1,1,0
Red Shoes The,0040725,1948,3,0,0
Enchantment,0040321,1948,3,0,0
Melody Time,0040580,1948,1,0,0
Easter Parade,0040308,1948,3,1,0
Red River,0040724,1948,0,0,0
Mr. Blandings Builds His Dream House,0040613,1948,3,0,0
Treasure of the Sierra Madre The,0040897,1948,0,0,0
Hamlet,0040416,1948,1,0,0
Bonnie Prince Charlie,0040183,1948,2,0,0
Fuller Brush Man The,0040379,1948,1,0,0
Bicycle Thieves,0040522,1948,2,0,0
Joan of Arc,0040491,1948,3,1,0
Third Man The,0041959,1949,0,0,0
Heiress The,0041452,1949,3,1,0
Mighty Joe Young,0041650,1949,0,1,0
Fountainhead The,0041386,1949,1,0,0
On the Town,0041716,1949,3,0,0
Pinky,0041746,1949,3,1,0
Kind Hearts and Coronets,0041546,1949,1,0,0
Little Women,0041594,1949,3,1,0
I Was a Male War Bride,0041498,1949,2,0,0
Set-Up The,0041859,1949,0,0,0
Man on the Eiffel Tower The,0041628,1949,2,0,0
Caught,0040221,1949,3,0,0
Adventures of Ichabod and Mr. Toad The,0041094,1949,0,0,0
Barkleys of Broadway The,0041158,1949,3,0,0
Adam&#39;s Rib,0041090,1949,3,0,0
Late Spring,0041154,1949,3,0,0
A Letter to Three Wives,0041587,1949,3,1,0
Under Capricorn,0042004,1949,3,1,0
Cinderella,0042332,1950,3,1,0
Flying Saucer The,0042469,1950,1,0,0
Orpheus,0041719,1950,2,0,0
No Way Out,0042792,1950,3,0,0
Odette,0043871,1950,3,1,0
Summer Stock,0043012,1950,3,1,0
All About Eve,0042192,1950,3,1,0
Scandal,0042958,1950,3,0,0
Rashomon,0042876,1950,0,0,0
Born Yesterday,0042276,1950,3,1,0
In a Lonely Place,0042593,1950,2,0,0
Harvey,0042546,1950,2,0,0
Stage Fright,0042994,1950,3,1,0
Sunset Blvd.,0043014,1950,1,0,0
D.O.A.,0042369,1950,1,0,0
Asphalt Jungle The,0042208,1950,1,0,0
Les enfants terribles,0042436,1950,3,0,0
Cause for Alarm!,0043390,1951,3,1,0
African Queen The,0043265,1951,0,0,0
Ace In The Hole,0043338,1951,2,0,0
An American in Paris,0043278,1951,1,0,0
Surcos,0044092,1951,3,0,0
Early Summer,0043313,1951,3,1,0
Quo Vadis,0043949,1951,3,0,0
Show Boat,0044030,1951,3,0,0
Diary of a Country Priest,0042619,1951,1,0,0
Idiot The,0043614,1951,3,1,0
Westward the Women,0044205,1951,3,0,0
Bellissima,0043332,1951,3,1,0
Thing from Another World The,0044121,1951,1,0,0
A Streetcar Named Desire,0044081,1951,3,1,0
Take Care of My Little Girl,0044100,1951,3,1,0
Strangers on a Train,0044079,1951,2,0,0
Alice in Wonderland,0043274,1951,3,1,0
Day the Earth Stood Still The,0043456,1951,3,0,0
Quiet Man The,0045061,1952,1,0,0
Forbidden Games,0043686,1952,3,1,0
Ikiru,0044741,1952,1,0,0
High Noon,0044706,1952,2,0,0
Big Sky The,0044419,1952,0,0,0
Bad and the Beautiful The,0044391,1952,2,1,0
Lovely to Look at,0044855,1952,3,1,0
Clash by Night,0044502,1952,3,1,0
Snows of Kilimanjaro The,0045162,1952,1,0,0
Limelight,0044837,1952,1,0,0
Magic Box The,0043769,1952,2,0,0
Singin&#39; in the Rain,0045152,1952,3,0,0
Tokyo Story,0046438,1953,3,0,0
Miss Sadie Thompson,0046076,1953,3,1,0
Calamity Jane,0045591,1953,3,1,0
Le Salaire de la Peur,0046268,1953,1,0,0
Peter Pan,0046183,1953,3,0,0
Stalag 17,0046359,1953,0,0,0
Mogambo,0046085,1953,2,0,0
Hitch-Hiker The,0045877,1953,0,0,1
Cruel Sea The,0045659,1953,3,0,0
Shane,0046303,1953,1,0,0
Roman holiday,0046250,1953,3,0,0
Mr. Hulot&#39;s Holiday,0046487,1953,3,0,0
Glen or Glenda,0045826,1953,0,0,0
Julius Caesar,0045943,1953,1,0,0
How to Marry a Millionaire,0045891,1953,3,1,0
From Here to Eternity,0045793,1953,3,0,0
Big Heat The,0045555,1953,3,0,0
Summer with Monika,0046345,1953,3,1,0
Inferno,0045911,1953,0,0,0
War of the Worlds The,0046534,1953,1,0,0
Band Wagon The,0045537,1953,1,0,0
Salome,0046269,1953,3,1,0
